11	group_1496,ubiE
12	group_1706,group_1710
13	group_1761,sorC_2,purK
14	group_203,group_3518
15	group_2519,group_2520
16	group_2747,tcyA_1
17	group_2763,group_2764
18	group_2786,group_3654,group_3655
19	group_389,metE
20	group_4287,tcyA
21	group_4707,guaB_1
22	group_6559,group_6784,mccF,tag,tag_1
23	ydcP,ydcP_1
