Node1,Node2,Force,pair_type
fecB,group_7086,-0.5,gene-gene-assoc
fecD,group_7087,-0.5,gene-gene-assoc
fecD,group_7086,-0.5,gene-gene-assoc
fecD,fecB,-0.5,gene-gene-assoc
group_4247,group_7087,-0.5,gene-gene-assoc
group_4247,group_7086,-0.5,gene-gene-assoc
group_4247,fecB,-0.5,gene-gene-assoc
group_4247,fecD,-0.5,gene-gene-assoc
group_7737,group_7087,-0.5,gene-gene-assoc
group_7737,group_7086,-0.5,gene-gene-assoc
group_7737,fecB,-0.5,gene-gene-assoc
group_7737,fecD,-0.5,gene-gene-assoc
group_7737,group_4247,-0.5,gene-gene-assoc
group_15755,group_4999,-0.462862015,gene-gene-assoc
group_15755,ulaA,-0.462862015,gene-gene-assoc
group_15755,group_8243,-0.491180628,gene-gene-assoc
group_15755,norW,-0.491180628,gene-gene-assoc
group_15755,group_8153,-0.491180628,gene-gene-assoc
group_15755,group_9969,-0.481589217,gene-gene-assoc
group_15755,yidZ,-0.491180628,gene-gene-assoc
group_15755,group_9707,-0.4959417204,gene-gene-assoc
group_7720,group_8143,-0.481589217,gene-gene-assoc
group_5407,group_4999,-0.462862015,gene-gene-assoc
group_5407,ulaA,-0.462862015,gene-gene-assoc
group_5407,group_8243,-0.462862015,gene-gene-assoc
group_5407,norW,-0.462862015,gene-gene-assoc
group_5407,group_8153,-0.481589217,gene-gene-assoc
group_5407,yidZ,-0.481589217,gene-gene-assoc
group_5407,rfbB,-0.462862015,gene-gene-assoc
group_5407,group_9707,-0.481589217,gene-gene-assoc
group_5407,group_12784,-0.462862015,gene-gene-assoc
group_5407,group_15755,-0.4959417204,gene-gene-assoc
group_16234,group_4999,-0.462862015,gene-gene-assoc
group_16234,ulaA,-0.491180628,gene-gene-assoc
group_16234,group_8243,-0.462862015,gene-gene-assoc
group_16234,norW,-0.462862015,gene-gene-assoc
group_16234,group_8153,-0.462862015,gene-gene-assoc
group_16234,yidZ,-0.462862015,gene-gene-assoc
group_9383,group_5533,-0.4990161844,gene-gene-assoc
group_12321,group_1838,-0.5,gene-gene-assoc
group_9784,group_6704,-0.491180628,gene-gene-assoc
group_9784,group_798,-0.462862015,gene-gene-assoc
group_2462,group_16315,-0.462862015,gene-gene-assoc
group_2443,group_4999,-0.462862015,gene-gene-assoc
group_2443,ulaA,-0.491180628,gene-gene-assoc
group_2443,group_8243,-0.462862015,gene-gene-assoc
group_2443,norW,-0.462862015,gene-gene-assoc
group_2443,group_8153,-0.462862015,gene-gene-assoc
group_2443,yidZ,-0.462862015,gene-gene-assoc
group_2443,group_5407,-0.462862015,gene-gene-assoc
group_2443,group_16234,-0.4994837068,gene-gene-assoc
group_16276,group_16315,-0.481589217,gene-gene-assoc
group_16276,group_2462,-0.4990161844,gene-gene-assoc
group_15977,group_16315,-0.481589217,gene-gene-assoc
group_15977,group_2462,-0.4990161844,gene-gene-assoc
group_15977,group_16276,-0.4994837068,gene-gene-assoc
group_10487,group_11491,-0.462862015,gene-gene-assoc
group_2461,group_16315,-0.481589217,gene-gene-assoc
group_2461,group_2462,-0.4990161844,gene-gene-assoc
group_2461,group_16276,-0.4994837068,gene-gene-assoc
group_2461,group_15977,-0.4994837068,gene-gene-assoc
group_16275,group_16315,-0.481589217,gene-gene-assoc
group_16275,group_2462,-0.4994837068,gene-gene-assoc
group_16275,group_16276,-0.49963324543,gene-gene-assoc
group_16275,group_15977,-0.49963324543,gene-gene-assoc
group_16275,group_2461,-0.49963324543,gene-gene-assoc
group_9846,group_10837,-0.481589217,gene-gene-assoc
group_9846,group_9784,-0.497756516,gene-gene-assoc
group_6692,group_16315,-0.462862015,gene-gene-assoc
group_6692,group_2462,-0.497756516,gene-gene-assoc
group_6692,group_16276,-0.497756516,gene-gene-assoc
group_6692,group_15977,-0.497756516,gene-gene-assoc
group_6692,group_2461,-0.497756516,gene-gene-assoc
group_6692,group_16275,-0.4990161844,gene-gene-assoc
group_6438,group_16315,-0.481589217,gene-gene-assoc
group_6438,group_2462,-0.497756516,gene-gene-assoc
group_6438,group_16276,-0.4990161844,gene-gene-assoc
group_6438,group_15977,-0.4990161844,gene-gene-assoc
group_6438,group_2461,-0.4990161844,gene-gene-assoc
group_6438,group_16275,-0.4994837068,gene-gene-assoc
group_6438,group_6692,-0.497756516,gene-gene-assoc
cpaB,group_16315,-0.481589217,gene-gene-assoc
cpaB,group_2462,-0.497756516,gene-gene-assoc
cpaB,group_16276,-0.4990161844,gene-gene-assoc
cpaB,group_15977,-0.4990161844,gene-gene-assoc
cpaB,group_2461,-0.4990161844,gene-gene-assoc
cpaB,group_16275,-0.4994837068,gene-gene-assoc
cpaB,group_6692,-0.497756516,gene-gene-assoc
cpaB,group_6438,-0.4990161844,gene-gene-assoc
group_6423,group_16315,-0.462862015,gene-gene-assoc
group_6423,group_2462,-0.497756516,gene-gene-assoc
group_6423,group_16276,-0.497756516,gene-gene-assoc
group_6423,group_15977,-0.497756516,gene-gene-assoc
group_6423,group_2461,-0.497756516,gene-gene-assoc
group_6423,group_16275,-0.4990161844,gene-gene-assoc
group_6423,group_6692,-0.497756516,gene-gene-assoc
group_6423,group_6438,-0.497756516,gene-gene-assoc
group_6423,cpaB,-0.497756516,gene-gene-assoc
group_6189,lamB,-0.462862015,gene-gene-assoc
group_6189,rfbB,-0.481589217,gene-gene-assoc
group_6189,group_12784,-0.481589217,gene-gene-assoc
group_6189,group_7087,-0.5,gene-gene-assoc
group_6189,group_7086,-0.5,gene-gene-assoc
group_6189,fecB,-0.5,gene-gene-assoc
group_6189,fecD,-0.5,gene-gene-assoc
group_6189,group_4247,-0.5,gene-gene-assoc
group_6189,group_7737,-0.5,gene-gene-assoc
group_4994,group_16315,-0.481589217,gene-gene-assoc
group_4994,group_2462,-0.497756516,gene-gene-assoc
group_4994,group_16276,-0.4990161844,gene-gene-assoc
group_4994,group_15977,-0.4990161844,gene-gene-assoc
group_4994,group_2461,-0.4990161844,gene-gene-assoc
group_4994,group_16275,-0.4994837068,gene-gene-assoc
group_4994,group_6692,-0.497756516,gene-gene-assoc
group_4994,group_6438,-0.4990161844,gene-gene-assoc
group_4994,cpaB,-0.4990161844,gene-gene-assoc
group_4994,group_6423,-0.497756516,gene-gene-assoc
group_4975,group_16315,-0.462862015,gene-gene-assoc
group_4975,group_2462,-0.497756516,gene-gene-assoc
group_4975,group_16276,-0.497756516,gene-gene-assoc
group_4975,group_15977,-0.497756516,gene-gene-assoc
group_4975,group_2461,-0.497756516,gene-gene-assoc
group_4975,group_16275,-0.4990161844,gene-gene-assoc
group_4975,group_6692,-0.497756516,gene-gene-assoc
group_4975,group_6438,-0.497756516,gene-gene-assoc
group_4975,cpaB,-0.497756516,gene-gene-assoc
group_4975,group_6423,-0.497756516,gene-gene-assoc
group_4975,group_4994,-0.497756516,gene-gene-assoc
group_4974,group_16315,-0.481589217,gene-gene-assoc
group_4974,group_2462,-0.497756516,gene-gene-assoc
group_4974,group_16276,-0.4990161844,gene-gene-assoc
group_4974,group_15977,-0.4990161844,gene-gene-assoc
group_4974,group_2461,-0.4990161844,gene-gene-assoc
group_4974,group_16275,-0.4994837068,gene-gene-assoc
group_4974,group_6692,-0.497756516,gene-gene-assoc
group_4974,group_6438,-0.4990161844,gene-gene-assoc
group_4974,cpaB,-0.4990161844,gene-gene-assoc
group_4974,group_6423,-0.497756516,gene-gene-assoc
group_4974,group_4994,-0.4990161844,gene-gene-assoc
group_4974,group_4975,-0.497756516,gene-gene-assoc
group_3031,group_16157,-0.491180628,gene-gene-assoc
group_16933,group_4999,-0.462862015,gene-gene-assoc
group_16933,ulaA,-0.481589217,gene-gene-assoc
group_16933,group_8243,-0.481589217,gene-gene-assoc
group_16933,norW,-0.481589217,gene-gene-assoc
group_16933,group_8153,-0.462862015,gene-gene-assoc
group_16933,yidZ,-0.462862015,gene-gene-assoc
group_16933,rfbB,-0.462862015,gene-gene-assoc
group_16933,group_12784,-0.462862015,gene-gene-assoc
group_16933,group_16234,-0.4959417204,gene-gene-assoc
group_16933,group_2443,-0.4959417204,gene-gene-assoc
group_5371,group_16315,-0.481589217,gene-gene-assoc
group_5371,group_2462,-0.497756516,gene-gene-assoc
group_5371,group_16276,-0.4990161844,gene-gene-assoc
group_5371,group_15977,-0.4990161844,gene-gene-assoc
group_5371,group_2461,-0.4990161844,gene-gene-assoc
group_5371,group_16275,-0.4994837068,gene-gene-assoc
group_5371,group_6692,-0.497756516,gene-gene-assoc
group_5371,group_6438,-0.4990161844,gene-gene-assoc
group_5371,cpaB,-0.4990161844,gene-gene-assoc
group_5371,group_6423,-0.497756516,gene-gene-assoc
group_5371,group_4994,-0.4990161844,gene-gene-assoc
group_5371,group_4975,-0.4990161844,gene-gene-assoc
group_5371,group_4974,-0.4990161844,gene-gene-assoc
group_2486,group_16315,-0.481589217,gene-gene-assoc
group_2486,group_2462,-0.497756516,gene-gene-assoc
group_2486,group_16276,-0.4990161844,gene-gene-assoc
group_2486,group_15977,-0.4990161844,gene-gene-assoc
group_2486,group_2461,-0.4990161844,gene-gene-assoc
group_2486,group_16275,-0.4994837068,gene-gene-assoc
group_2486,group_6692,-0.4994837068,gene-gene-assoc
group_2486,group_6438,-0.4990161844,gene-gene-assoc
group_2486,cpaB,-0.4990161844,gene-gene-assoc
group_2486,group_6423,-0.497756516,gene-gene-assoc
group_2486,group_4994,-0.4990161844,gene-gene-assoc
group_2486,group_4975,-0.497756516,gene-gene-assoc
group_2486,group_4974,-0.4990161844,gene-gene-assoc
group_2486,group_5371,-0.4990161844,gene-gene-assoc
group_2393,group_16157,-0.491180628,gene-gene-assoc
group_2393,group_3031,-0.4990161844,gene-gene-assoc
group_17474,group_6189,-0.481589217,gene-gene-assoc
group_15549,group_6189,-0.481589217,gene-gene-assoc
group_15549,group_17474,-0.5,gene-gene-assoc
group_11891,group_6398,-0.497756516,gene-gene-assoc
group_11891,group_4941,-0.481589217,gene-gene-assoc
group_7839,group_8205,-0.4994837068,gene-gene-assoc
group_2085,group_6189,-0.481589217,gene-gene-assoc
group_2085,group_17474,-0.5,gene-gene-assoc
group_2085,group_15549,-0.5,gene-gene-assoc
group_14338,group_14793,-0.4959417204,gene-gene-assoc
group_11101,group_6189,-0.481589217,gene-gene-assoc
group_11101,group_17474,-0.5,gene-gene-assoc
group_11101,group_15549,-0.5,gene-gene-assoc
group_11101,group_2085,-0.5,gene-gene-assoc
group_7393,group_4999,-0.462862015,gene-gene-assoc
group_7393,ulaA,-0.491180628,gene-gene-assoc
group_7393,group_8243,-0.481589217,gene-gene-assoc
group_7393,norW,-0.481589217,gene-gene-assoc
group_7393,group_8153,-0.491180628,gene-gene-assoc
group_7393,yidZ,-0.491180628,gene-gene-assoc
group_7393,group_9707,-0.481589217,gene-gene-assoc
group_7393,group_15755,-0.4990161844,gene-gene-assoc
group_7393,group_5407,-0.481589217,gene-gene-assoc
group_7393,group_16234,-0.481589217,gene-gene-assoc
group_7393,group_2443,-0.481589217,gene-gene-assoc
group_7393,group_16933,-0.491180628,gene-gene-assoc
group_6693,group_16315,-0.481589217,gene-gene-assoc
group_6693,group_2462,-0.497756516,gene-gene-assoc
group_6693,group_16276,-0.4990161844,gene-gene-assoc
