ID	Result
group_4084	-0.400866387249363
penA	76.1560340815355
group_5405	-0.37785348691252
group_1412	3.84440726449018
group_1443	-7.75433535044191
group_6001	-0.411015600405903
atpA_1	-207.003868629527
group_17	0.170648299583426
group_1836	4.83372450398015
group_2026	0.0482863652499694
group_1838	-27.3341518838556
group_2894	0.233336939525467
group_1895	-22.5952243234552
group_150	0.251081285335546
group_1924	-0.345736515392563
group_2164	0.454871867256385
group_2031	-19.6849166142864
group_754	-0.386092934214097
mtaD	7.45405584897868
malK_1	-0.289092016170417
group_2196	-47.5719930206093
group_270	0.194956545609912
dnaE	-41.8151158648576
group_390	0.528676470645369
group_2347	-27.4398143717168
group_1577	0.0604025083157246
group_2414	2.58580065108926
group_1633	-0.154853324930178
group_2425	-8.86899587126582
group_2610	-0.0354988846072332
ileS	-2.02602241010059
leuB_2	-0.379389471391604
pheT_1	0.0673588458389505
group_260	0.323143220208558
recU	-6.85031527979028
group_4078	-0.393914743104232
group_2551	-33.0932862471321
group_5992	-0.392323761409102
group_2564	1.54651107432554
group_2299	-0.394862797754722
leuS	1.25626837513359
group_4876	-0.414735919669128
group_2613	-16.2154074174176
group_5414	-0.41488764057136
group_2645	0.43533652758474
group_5993	-0.412555909141463
bcrC_1	-32.4668189338044
group_25	-0.149286889015467
smc	2846.86339609423
group_39	0.379610996981888
lacG_2	-21.7666488596196
group_4778	-0.135215018303552
group_2801	7.8356260988022
group_5413	-0.363598052193236
lytA_1	-0.944046612641076
group_124	0.00691794503253177
ykoD_1	-43.3365364939415
group_1586	-0.161685550110569
group_2918	746.480940745643
manA	14.1442304728931
group_4102	-0.33958951734514
group_1603	-0.219739385164829
niaX	-63.7441462521936
group_3017	-0.0468632896639991
group_1636	-0.301259235986987
clpC_2	3.51090222797674
group_2822	-0.301601144614461
group_2958	-0.181476267647204
licR	22.9237047394808
group_3071	-0.481896116432608
ecfT_1	-30.7699369265819
deoC	-18.3094378679105
group_758	0.408533553755143
group_3312	97.5289489893916
group_1701	-0.126543308422555
bacC	-3.27575508272772
group_3451	-0.232900816928214
group_3318	-6.1937093889305
group_4009	-0.148723696623106
bglH	26.0828601957479
group_5431	-0.287328900693097
ddl	120.202341240346
toxA	-0.331312221932268
rsmI	0.901988593507208
group_8298	0.541448137472205
lacC_2	-165.999253696811
group_1366	-0.430990643598781
sarA_3	-31.2600335836359
bglA_1	-0.243606857091793
rpsA_1	-65.3573767874293
group_3714	-0.476109505542659
group_3476	-9.99686217617523
group_4006	-0.128117055241827
pheA	9.54361587062135
group_4111	-0.458676960928269
group_3503	2.87122889514077
group_1298	-0.0981203872549399
group_3520	-45.3359884342621
group_1989	-0.464378519422692
group_3585	0.469316111025572
group_827	-0.232341836025413
manX_3	-1.85491142686292
group_1619	-0.380347141294544
thiE_1	0.0716521990444514
group_2684	-0.386977140006092
axe1.6A_1	-11.8144110874215
apaH	-0.392536402053235
rexB	-25.6509691747316
group_801	0.467626957831531
group_3674	-38.5076595720215
group_895	-0.318709874190298
glyA	-78.8736536667963
group_222	0.437010837927487
msrR	0.691929780082565
group_2549	0.212851181242685
group_3831	-35.180434190701
group_4447	-0.369506278962589
punA	10.7681522141179
group_1199	-0.0717041310467817
tcyJ	1.5205723064323
group_1640	-0.258473978111536
group_3956	7.16550308788
group_2033	-0.00982744653366181
group_3960	-51.452211522837
group_2849	-0.234316771095093
group_3961	15.6142899130373
relA_2	-0.415881856823829
cdaA	0.570039816450997
group_5415	-0.37484060244674
chrR	0.550815932194267
group_6078	-0.334027599050652
proC	7.28772044704705
intQ	-0.393933483901098
yfnB	-22.6930629720106
group_387	0.688129398506505
group_4024	6.14277923084905
group_6079	-0.335329067879392
tdk	-73.2712152882584
msbA_2	0.0865812178016225
asd	77.0187365242041
group_1826	-0.393385941015715
group_4040	1.3180976944703
group_2213	-0.0562207708693279
truC	-9.12760997634392
group_3701	0.348923935760114
galK_1	-31.05513609545
group_447	0.457472675838849
infB	-35.3018320957917
pbpX_1	-0.354486624035064
aroC	8.24667529160667
group_230	0.554852912443057
pgl	-44.1951492632851
group_3168	0.885689296814995
bceA	-42.7362441185243
group_4470	-0.454946289420666
pflB	-30.5679501339106
secA_2	-0.316319572600941
dnaJ	-39.5164557196643
group_4891	-0.500687532806786
rpe	-2.60365978620568
group_4938	-0.34068055661541
licC_1	-26.5000762164742
group_500	0.329214544989795
group_4277	-0.0708415364869518
gtf1	-0.316571616995111
gor	0.846085933569032
group_3758	-0.302552835090953
tenA_2	-1.5625891955804
group_1268	-0.317580417282482
carB	23.2057871355966
group_265	0.433289105022108
dtxR	1.40995075615446
msmE_1	-0.313777001830346
group_4369	-18.2386618952275
group_3731	-0.371367108579027
group_4372	-2.71924717319141
group_3789	-0.226007394504262
coaE	-117.668744898084
agaSK_1	-0.315653552513547
lplJ	-26.9555841789823
group_6086	-0.319104571652792
nusB	-158.859561704273
lmrA_1	-0.152702528117088
thrB_2	3.20743951923481
group_8356	-0.350564208281882
sarA_1	-3.25158206798081
group_1306	-0.290213338367531
resA	-24.0697926736447
group_3486	-0.254970436397109
group_4507	-27.9729028769109
group_4969	-0.246914793332939
ydaF_4	-389.130592834428
group_5455	-0.471525803698591
iolW	-20.4115473093125
group_5559	-0.230418007930123
rimP	-33.1380311558843
ybbH_2	-0.252922126304724
rplGA	580.111590503795
group_1641	-0.278480262370995
rbfA	-69.1748401555569
group_2028	0.311733294831316
group_4644	1.14057991758888
group_256	0.276290263770333
pnuC	1.46339360961407
group_4247	-0.223101590234452
group_4659	-1.89970493676952
