Score,Frequency
-23,0.07362493139843486
-22,0.18406232849608714
-21,0.257687259894522
-20,0.6626243825859137
-19,1.7669983535624367
-18,3.2394969815311336
-17,8.614116973616879
-16,19.952356408975845
-15,48.445204860170136
-14,111.83627079422256
-13,280.1796764367439
-12,721.4507027732632
-11,1950.434870141637
-10,5364.938313606851
-9,15190.25903365938
-8,42437.88902011194
-7,116103.97675519853
-6,318722.7329609472
-5,916818.3603603742
-4,2718266.0
-3,7961910.0
-2,29597332.0
-1,166432492.0
0,764625969.0
1,231433967.0
2,32585941.0
3,8483236.0
4,2900616.0
5,1046862.5920639494
6,375724.9586604347
7,139417.789844567
8,51754.16696447569
9,18760.14789484099
10,6543.526215432996
11,2295.8830482630933
12,840.7599041044268
13,324.6123225356993
14,128.14419309897588
15,54.26157444064649
16,23.155040924807764
17,10.417927792878533
18,4.711995609499831
19,2.57687259894522
20,0.9571241081796532
21,0.257687259894522
22,0.1104373970976523
23,0.03681246569921743
24,0.07362493139843486
25,0.03681246569921743
