1.135.O.	GCA_003928275.1
1.213.O.	GCA_003929715.1
1.216.O.	GCA_003929795.1
1.030.O.	GCA_003926595.1
1.031.O.	GCA_003926615.1
1.223.O.	GCA_003929855.1
1.160.O.	GCA_003928695.1
1.226.O.	GCA_003929915.1
1.082.O.	GCA_003927335.1
1.164.O.	GCA_003928735.1
1.165.O.	GCA_003928755.1
1.232.O.	GCA_003929975.1
1.054.O.	GCA_003926955.1
1.168.O.	GCA_003928815.1
1.110.O.	GCA_003927815.1
1.239.O.	GCA_003930155.1
1.243.O.	GCA_003930215.1
1.246.O.	GCA_003930275.1
1.249.A.	GCF_003930355.1
1.250.O.	GCA_003930395.1
1.022.O.	GCA_003926435.1
1.079.O.	GCA_003927275.1
1.179.O.	GCA_003929035.1
1.122.A.	GCA_003928075.1
1.183.O.	GCA_003929095.1
1.259.O.	GCA_003930535.1
1.097.O.	GCF_003344285.1
1.187.O.	GCA_003344105.1
1.263.A.	GCA_003930595.1
1.038.O.	GCA_003926755.1
1.264.O.	GCA_003930635.1
1.191.O.	GCA_003929315.1
1.193.O.	GCA_003344145.1
1.046.O.	GCA_003926875.1
1.266.O.	GCA_003930675.1
1.197.A.	GCA_003929395.1
1.199.A.	GCA_003929455.1
1.286.O.	GCA_003931175.1
1.201.B.	GCA_003929515.1
