12B01	GCA_000152765.1
10N.261.48.C6	GCA_002876855.1
10N.286.48.F4	GCA_002878565.1
10N.286.46.F8	GCA_002873095.1
10N.286.55.C12	GCA_002874085.1
10N.222.46.A6	GCA_002875065.1
10N.261.46.F8	GCA_002875945.1
10N.261.49.B3	GCA_002876865.1
10N.261.55.E11	GCA_002878595.1
10N.286.48.A2	GCA_002873115.1
10N.286.45.B9	GCA_002874115.1
10N.222.46.E1	GCA_002875085.1
10N.261.48.A1	GCA_002875965.1
10N.261.49.E11	GCA_002876915.1
10N.261.55.C8	GCA_002878605.2
10N.286.48.A6	GCA_002873135.1
10N.286.45.C3	GCA_002874135.1
10N.222.46.B6	GCA_002875095.1
10N.261.48.B1	GCA_002875985.1
10N.261.49.C11	GCA_002876945.2
10N.261.52.C9	GCA_002878635.1
10N.286.48.A9	GCA_002873185.1
10N.286.45.C1	GCA_002874155.1
10N.222.46.F12	GCA_002875125.1
10N.261.48.B5	GCA_002875995.1
10N.261.49.F3	GCA_002876965.1
10N.286.54.B4	GCA_020539545.1
10N.286.48.B7	GCA_002873195.1
10N.286.45.C8	GCA_002874165.1
10N.222.48.A2	GCA_002875145.1
10N.261.48.A9	GCA_002876025.1
10N.261.49.E4	GCA_002876975.1
10N.286.52.E12	GCA_020539555.1
10N.286.49.A12	GCA_002873265.1
10N.286.45.E10	GCA_002874195.1
10N.222.49.A5	GCA_002875165.1
10N.261.48.B7	GCA_002876045.1
10N.261.49.F8	GCA_002877005.2
10N.286.55.B8	GCA_020806125.1
10N.286.49.B11	GCA_002873285.1
10N.286.45.F8	GCA_002874205.1
10N.222.49.B11	GCA_002875185.1
10N.261.48.C11	GCA_002876065.1
10N.261.49.F5	GCA_002877015.1
10N.286.55.F9	GCA_020806135.1
10N.286.49.B1	GCA_002873335.1
10N.286.46.A10	GCA_002874235.1
10N.222.49.A8	GCA_002875195.1
10N.261.48.C12	GCA_002876085.1
10N.261.51.F2	GCA_002877045.1
10N.286.48.A12	GCA_020806205.1
10N.286.49.A5	GCA_002873345.1
10N.286.46.A4	GCA_002874245.1
10N.222.49.C7	GCA_002875225.1
10N.261.48.C5	GCA_002876105.1
10N.261.51.A9	GCA_002877065.2
10N.261.51.C7	GCA_020806225.1
10N.286.49.B3	GCA_002873395.1
10N.286.46.B8	GCA_002874275.1
10N.222.49.B7	GCA_002875235.1
10N.261.48.E5	GCA_002876115.1
10N.261.52.B1	GCA_002877085.1
10N.286.48.B4	GCA_020806245.1
10N.286.49.E3	GCA_002873405.1
10N.286.46.E1	GCA_002874295.1
10N.222.51.A12	GCA_002875245.1
